año,NCODI,anestesia_cTotal,aDigestivo_cTotal,cardiologia_cTotal,endocrin_cTotal,geriatric_cTotal,medInterna_cTotal,neumolog_cTotal,oncolog_cTotal,neurologia_cTotal,mFisica_cTotal,mResto_cTotal,subMedicas_cTotal,angiologia_cTotal,cCardio_cTotal,cGeneral_cTotal,cOral_cTotal,cOrtopedica_cTotal,cPediatrica_cTotal,cPlastica_cTotal,cToracica_cTotal,dermatologia_cTotal,neurocirugia_cTotal,obstetricia_cTotal,oftalmologia_cTotal,otorrino_cTotal,urologia_cTotal,subQuirurgicas_cTotal,pediatria_cTotal,mIntensiva_cTotal,psiquiatria_cTotal,sCentrales_cTotal,urgencias_cTotal,total_cMedicos,farmaceuticos_cTotal,oTituSuperior_cTotal,anestesia_cMujeres,aDigestivo_cMujeres,cardiologia_cMujeres,endocrin_cMujeres,geriatric_cMujeres,medInterna_cMujeres,neumolog_cMujeres,oncolog_cMujeres,neurologia_cMujeres,mFisica_cMujeres,mResto_cMujeres,subMedicas_cMujeres,angiologia_cMujeres,cCardio_cMujeres,cGeneral_cMujeres,cOral_cMujeres,cOrtopedica_cMujeres,cPediatrica_cMujeres,cPlastica_cMujeres,cToracica_cMujeres,dermatologia_cMujeres,neurocirugia_cMujeres,obstetricia_cMujeres,oftalmologia_cMujeres,otorrino_cMujeres,urologia_cMujeres,subQuirurgicas_cMujeres,pediatria_cMujeres,mIntensiva_cMujeres,psiquiatria_cMujeres,sCentrales_cMujeres,urgencias_cMujeres,total_cMujerMedicos,farmaceuticos_cMujeres,oTituSuperior_cMujeres,anestesia_pTotal,aDigestivo_pTotal,cardiologia_pTotal,endocrin_pTotal,geriatric_pTotal,medInterna_pTotal,neumolog_pTotal,oncolog_pTotal,neurologia_pTotal,mFisica_pTotal,mResto_pTotal,subMedicas_pTotal,angiologia_pTotal,cCardio_pTotal,cGeneral_pTotal,cOral_pTotal,cOrtopedica_pTotal,cPediatrica_pTotal,cPlastica_pTotal,cToracica_pTotal,dermatologia_pTotal,neurocirugia_pTotal,obstetricia_pTotal,oftalmologia_pTotal,otorrino_pTotal,urologia_pTotal,subQuirurgicas_pTotal,pediatria_pTotal,mIntensiva_pTotal,psiquiatria_pTotal,sCentrales_pTotal,urgencias_pTotal,total_pMedicos,farmaceuticos_pTotal,oTituSuperior_pTotal,anestesia_pMujeres,aDigestivo_pMujeres,cardiologia_pMujeres,endocrin_pMujeres,geriatric_pMujeres,medInterna_pMujeres,neumolog_pMujeres,oncolog_pMujeres,neurologia_pMujeres,mFisica_pMujeres,mResto_pMujeres,subMedicas_pMujeres,angiologia_pMujeres,cCardio_pMujeres,cGeneral_pMujeres,cOral_pMujeres,cOrtopedica_pMujeres,cPediatrica_pMujeres,cPlastica_pMujeres,cToracica_pMujeres,dermatologia_pMujeres,neurocirugia_pMujeres,obstetricia_pMujeres,oftalmologia_pMujeres,otorrino_pMujeres,urologia_pMujeres,subQuirurgicas_pMujeres,pediatria_pMujeres,mIntensiva_pMujeres,psiquiatria_pMujeres,sCentrales_pMujeres,urgencias_pMujeres,total_pMujerMedicos,farmaceuticos_pMujeres,oTituSuperior_pMujeres,anestesia_colabTotal,aDigestivo_colabTotal,cardiologia_colabTotal,endocrin_colabTotal,geriatric_colabTotal,medInterna_colabTotal,neumolog_colabTotal,oncolog_colabTotal,neurologia_colabTotal,mFisica_colabTotal,mResto_colabTotal,subMedicas_colabTotal,angiologia_colabTotal,cCardio_colabTotal,cGeneral_colabTotal,cOral_colabTotal,cOrtopedica_colabTotal,cPediatrica_colabTotal,cPlastica_colabTotal,cToracica_colabTotal,dermatologia_colabTotal,neurocirugia_colabTotal,obstetricia_colabTotal,oftalmologia_colabTotal,otorrino_colabTotal,urologia_colabTotal,subQuirurgicas_colabTotal,pediatria_colabTotal,mIntensiva_colabTotal,psiquiatria_colabTotal,sCentrales_colabTotal,urgencias_colabTotal,total_colabMedicos,farmaceuticos_colabTotal,oTituSuperior_colabTotal,anestesia_colabMujeres,aDigestivo_colabMujeres,cardiologia_colabMujeres,endocrin_colabMujeres,geriatric_colabMujeres,medInterna_colabMujeres,neumolog_colabMujeres,oncolog_colabMujeres,neurologia_colabMujeres,mFisica_colabMujeres,mResto_colabMujeres,subMedicas_colabMujeres,angiologia_colabMujeres,cCardio_colabMujeres,cGeneral_colabMujeres,cOral_colabMujeres,cOrtopedica_colabMujeres,cPediatrica_colabMujeres,cPlastica_colabMujeres,cToracica_colabMujeres,dermatologia_colabMujeres,neurocirugia_colabMujeres,obstetricia_colabMujeres,oftalmologia_colabMujeres,otorrino_colabMujeres,urologia_colabMujeres,subQuirurgicas_colabMujeres,pediatria_colabMujeres,mIntensiva_colabMujeres,psiquiatria_colabMujeres,sCentrales_colabMujeres,urgencias_colabMujeres,total_colabMujerMedicos,farmaceuticos_colabMujeres,oTituSuperior_colabMujeres
2018,711,53,12,25,0,0,0,0,0,20,6,79,195,4,5,18,0,24,0,5,0,5,6,17,10,11,0,105,14,9,29,81,29,462,15,17,34,4,6,0,0,0,0,0,5,5,42,96,1,2,8,0,11,0,3,0,3,1,11,2,4,0,46,12,2,13,40,11,220,11,7,3,1,3,0,0,0,0,0,1,0,11,19,1,0,0,0,3,0,0,0,6,1,8,7,0,0,26,12,0,11,7,12,87,0,0,1,0,3,0,0,0,0,0,1,0,9,14,0,0,0,0,1,0,0,0,4,1,5,7,0,0,18,9,0,10,5,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,204,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,579,0,1,1,1,0,0,2,0,1,0,16,22,0,0,0,0,1,1,0,0,1,0,0,1,0,0,4,20,0,0,0,27,73,1,2,0,1,0,1,0,0,1,0,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,7,25,1,2,0,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,5,0,0,1,0,3,0,5,23,0,0,0,3,4,3,0,0,1,2,2,4,6,2,27,16,0,1,0,12,79,0,0,1,3,0,3,0,0,0,0,1,0,4,12,0,0,0,0,1,2,0,0,0,1,2,4,1,1,12,11,0,1,0,8,44,0,0
2018,348,0,0,0,0,0,2,0,0,2,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,15,1,10,0,0,0,0,0,1,0,0,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,2,4,0,1,0,0,0,0,0,0,0,0,5,1,0,1,0,1,1,2,0,1,0,1,1,1,3,13,3,0,0,0,2,23,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,1,0,1,6,1,0,0,0,2,11,0,0
2018,766,15,0,0,0,0,0,0,9,0,0,21,45,0,0,0,0,0,2,0,0,0,0,5,0,0,16,23,0,0,0,21,1,90,2,9,8,0,0,0,0,0,0,1,0,0,15,24,0,0,0,0,0,2,0,0,0,0,3,0,0,5,10,0,0,0,13,0,47,2,5,5,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,5,1,22,0,5,4,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,761,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
2018,728,21,8,4,3,1,12,6,0,4,2,2,63,8,0,1,0,21,0,1,0,7,0,1,0,0,2,41,1,6,1,3,9,124,17,0,11,7,1,3,1,10,3,0,1,0,0,37,5,0,1,0,5,0,0,0,4,0,0,0,0,0,15,0,5,0,1,5,63,9,0,2,0,2,2,0,2,1,1,2,0,0,12,1,0,2,0,8,0,0,0,0,0,1,0,0,3,15,0,2,3,0,8,40,1,0,2,0,2,2,0,1,0,0,2,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,3,0,2,17,1,0,81,0,19,0,0,11,5,2,2,9,11,140,11,4,39,12,19,2,16,6,31,14,25,27,12,17,235,0,0,17,0,0,392,0,0,24,0,6,0,0,3,3,2,1,6,6,51,2,2,3,6,5,2,4,3,15,2,14,17,5,14,94,0,0,11,0,0,156,0,0
2018,280,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,1,1,12,1,0,21,7,1,1,1,7,53,1,1,5,3,1,1,1,1,3,1,1,1,6,3,29,25,1,0,0,0,108,0,0,0,0,3,0,0,0,2,0,0,0,4,9,0,0,1,1,0,0,0,0,1,0,0,0,4,0,7,0,0,0,0,0,16,0,0
2018,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,2,0,2,1,1,2,0,13,35,1,0,8,6,22,0,6,0,2,2,20,3,6,8,84,0,0,0,0,0,119,0,0,3,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2018,276,0,0,2,0,0,1,0,0,0,0,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,8,23,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,7,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,3,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,12,16,0,0,12,3,4,3,0,8,12,30,4,3,0,79,5,3,15,5,45,4,11,3,7,10,43,7,7,10,175,7,0,1,39,0,301,0,0,4,0,1,3,0,5,10,12,2,2,0,39,1,0,4,3,5,1,5,0,4,0,30,3,2,0,58,6,0,0,23,0,126,0,0
2018,11,0,0,0,0,0,5,0,1,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,13,2,0,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,6,0,0,20,1,8,1,0,7,3,6,2,1,0,49,2,2,20,1,53,0,2,2,2,2,9,3,3,5,106,0,1,2,33,0,191,0,0,6,0,2,1,0,3,0,6,2,1,0,21,2,0,5,0,3,0,1,1,0,0,3,0,1,1,17,0,0,1,5,0,44,0,0
2018,302,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,5,3,0,6,3,1,3,0,5,33,1,0,2,1,10,2,1,0,3,0,10,3,4,3,40,4,0,6,1,25,109,0,0,0,1,2,0,0,3,0,0,1,0,3,10,0,0,0,0,2,1,1,0,2,0,4,1,3,1,15,3,0,2,1,13,44,0,0
2018,682,12,2,2,1,0,6,1,2,2,0,0,28,3,0,4,0,6,0,0,0,1,0,0,3,0,0,17,0,5,0,3,10,63,2,0,8,1,2,1,0,5,0,1,1,0,0,19,1,0,0,0,2,0,0,0,1,0,0,1,0,0,5,0,4,0,3,6,37,2,0,6,1,2,0,0,0,1,0,1,1,3,15,1,0,3,5,8,0,0,0,3,0,0,3,4,3,30,0,2,0,0,5,52,3,1,2,1,0,0,0,0,1,0,0,0,3,7,0,0,2,3,2,0,0,0,1,0,0,1,2,1,12,0,1,0,0,4,24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,279,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,24,15,6,9,0,28,8,18,13,0,0,121,6,1,18,3,41,4,26,3,23,10,80,0,15,17,247,72,0,10,0,70,520,0,0,18,3,2,4,0,20,4,12,8,0,0,71,1,0,4,0,8,1,16,0,12,2,62,0,4,4,114,42,0,7,0,41,275,0,0
2018,282,0,0,8,0,0,7,0,6,0,0,4,25,0,4,0,0,1,0,0,0,0,0,0,0,0,0,5,1,10,0,0,11,52,5,0,0,0,2,0,0,3,0,5,0,0,2,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,0,6,25,2,0,0,0,7,0,0,3,0,1,0,0,1,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,10,2,0,0,17,54,2,0,0,0,3,0,0,1,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,1,0,0,5,17,2,0,5,10,14,3,0,9,7,5,8,1,26,88,13,6,37,5,63,14,7,6,17,13,56,20,21,21,299,8,1,9,131,59,595,0,59,1,3,3,0,0,1,4,0,3,1,8,24,2,1,4,1,0,4,1,1,10,1,23,6,4,1,59,2,0,3,60,24,172,0,32
2018,281,1,0,2,0,0,5,0,0,0,0,4,12,0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,5,5,0,12,8,47,4,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,6,6,26,3,0,7,0,6,0,0,1,0,0,0,0,1,15,0,0,1,0,1,0,0,0,0,0,2,0,0,0,4,2,1,0,2,7,31,0,0,2,0,3,0,0,1,0,0,0,0,1,7,0,0,1,0,1,0,0,0,0,0,2,0,0,0,4,1,1,0,2,5,20,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,77,94,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,23,34,0,0
2018,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,2,0,0,4,2,0,2,0,27,45,1,0,2,2,6,0,4,0,2,3,1,1,1,2,25,0,0,1,0,0,71,0,0,1,2,0,0,0,2,2,0,2,0,15,24,1,0,0,2,1,0,0,0,1,1,0,1,1,0,8,0,0,0,0,0,32,0,0
2018,610,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,2,33,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,1,13,2,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,116,0,0,0,0,7,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,17,1,0,0,0,0,0,4,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,115,0,0,0,0,0,0,2,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,24,33,1,0,3,1,1,0,5,0,0,0,0,0,1,0,12,0,0,0,0,5,50,1,0,0,0,0,0,0,1,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
2018,770,54,13,31,11,6,42,20,0,18,8,104,307,8,9,22,3,19,5,6,4,11,11,16,17,13,12,156,27,19,9,6,113,637,10,5,40,8,10,8,3,22,12,0,12,6,62,183,4,4,8,0,4,4,3,1,5,4,12,9,7,2,67,20,12,6,3,63,354,6,5,0,2,1,2,0,0,0,0,3,0,3,11,2,0,0,1,0,0,1,0,0,0,1,1,0,0,6,3,5,0,0,1,26,0,1,0,2,0,1,0,0,0,0,3,0,3,9,2,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,4,0,0,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,583,9,1,2,1,0,10,2,2,2,0,3,32,1,0,9,0,13,0,0,0,2,0,1,6,3,2,37,0,0,1,7,25,102,4,3,3,1,1,1,0,5,1,1,1,0,2,16,0,0,4,0,1,0,0,0,2,0,0,3,1,1,12,0,0,1,7,10,46,3,0,0,1,1,0,0,0,0,0,1,0,1,4,0,0,5,0,0,0,0,0,0,0,2,1,0,1,9,0,0,0,5,2,20,1,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,4,0,0,0,0,0,0,0,2,1,0,1,8,0,0,0,2,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,136,0,0,0,0,4,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,3,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,469,4,0,0,0,1,5,1,0,0,0,1,12,0,0,3,0,6,0,0,0,0,0,3,1,0,0,13,1,0,0,2,7,35,2,0,2,0,0,0,1,3,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,2,3,16,2,0,2,0,0,0,0,1,1,0,0,1,0,5,0,0,2,0,2,0,1,0,0,0,2,0,0,0,7,3,0,0,1,6,22,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9,0,0,0,3,3,3,0,0,0,2,1,0,1,13,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4,1,0,0,1,0,19,0,0,0,2,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
2018,642,8,2,2,0,3,12,1,0,3,3,3,37,0,0,9,0,2,0,1,0,1,0,11,5,3,5,37,6,0,0,14,38,132,2,0,1,0,1,0,1,6,1,0,2,3,2,17,0,0,4,0,1,0,1,0,0,0,6,4,1,0,17,2,0,0,9,14,59,2,0,0,0,2,1,1,1,0,0,1,0,0,6,1,0,2,0,0,0,1,0,0,0,2,2,1,0,9,1,0,0,0,8,24,1,0,0,0,2,1,1,0,0,0,0,0,0,4,1,0,1,0,0,0,1,0,0,0,1,1,0,0,5,0,0,0,0,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
